Ministry,Raw Category,Amount,normalized_category
fjarmalaraduneyti,A-hluti,23.0,
heilbrigdis- og tryggingamalaraduneyti,A-hluti,9.1,
doms- og kirkjumalaraduneyti,A-hluti,30.0,
doms- og kirkjumalaraduneyti,A-hluti,3.1,
heilbrigdis- og tryggingamalaraduneyti,A-hluti,32.0,
heilbrigdis- og tryggingamalaraduneyti,A-hluti,6.5,
doms- og kirkjumalaraduneyti,A-hluti,0.9,
heilbrigdis- og,A-hluti,0.3,
"101 forsaetisraduneyti, adalskrifstofa ....",A-hluti,22.0,
heilbrigdis- og tryggingamalaraduneyti,A-hluti,2.0,
doms- og kirkjumalaraduneyti,A-hluti,291.0,
heilbrigdis- og,A-hluti,112344.0,
sjavarutvegsraduneyti,A-hluti,436.0,
"101 forsaetisraduneyti, adalskrifstofa ....",A-hluti,583.0,
menntamalaraduneyti,A-hluti,201.0,
utanrikisraduneyti,A-hluti,611.0,
landbunadarraduneyti,A-hluti,211.0,
sjavarutvegsraduneyti,A-hluti,204.0,
doms- og kirkjumalaraduneyti,A-hluti,303.0,
felagsmalaraduneyti,A-hluti,331.0,
heilbrigdis- og tryggingamalaraduneyti,A-hluti,204.0,
fjarmalaraduneyti,A-hluti,402.0,
samgonguraduneyti,A-hluti,101.0,
idnadarraduneyti,A-hluti,245.0,
vidskiptaraduneyti,A-hluti,190.0,
umhverfisraduneyti,A-hluti,211.0,
