Ministry,Raw Category,Amount,normalized_category
fjarmalaraduneyti,A-hluti,23.0,nan
heilbrigdis- og tryggingamalaraduneyti,A-hluti,9.1,nan
doms- og kirkjumalaraduneyti,A-hluti,30.0,nan
doms- og kirkjumalaraduneyti,A-hluti,3.1,nan
heilbrigdis- og tryggingamalaraduneyti,A-hluti,32.0,nan
heilbrigdis- og tryggingamalaraduneyti,A-hluti,6.5,nan
doms- og kirkjumalaraduneyti,A-hluti,0.9,nan
heilbrigdis- og,A-hluti,0.3,nan
"101 forsaetisraduneyti, adalskrifstofa ....",A-hluti,22.0,nan
heilbrigdis- og tryggingamalaraduneyti,A-hluti,2.0,nan
doms- og kirkjumalaraduneyti,A-hluti,291.0,nan
heilbrigdis- og,A-hluti,112344.0,nan
sjavarutvegsraduneyti,A-hluti,436.0,nan
"101 forsaetisraduneyti, adalskrifstofa ....",A-hluti,583.0,nan
menntamalaraduneyti,A-hluti,201.0,nan
utanrikisraduneyti,A-hluti,611.0,nan
landbunadarraduneyti,A-hluti,211.0,nan
sjavarutvegsraduneyti,A-hluti,204.0,nan
doms- og kirkjumalaraduneyti,A-hluti,303.0,nan
felagsmalaraduneyti,A-hluti,331.0,nan
heilbrigdis- og tryggingamalaraduneyti,A-hluti,204.0,nan
fjarmalaraduneyti,A-hluti,402.0,nan
samgonguraduneyti,A-hluti,101.0,nan
idnadarraduneyti,A-hluti,245.0,nan
vidskiptaraduneyti,A-hluti,190.0,nan
umhverfisraduneyti,A-hluti,211.0,nan
