Ministry,Raw Category,amount_thousand_isk,normalized_category,amount_million_isk
heilbrigdis- og tryggingamalaraduneyti,A-hluti,60.0,nan,0.06
fjarmalaraduneyti,A-hluti,42.0,nan,0.042
doms- og kirkjumalaraduneyti,A-hluti,22281.0,nan,22.281
heilbrigdis- og tryggingamalaraduneyti,A-hluti,145201.0,nan,145.201
doms- og kirkjumalaraduneyti,A-hluti,5.1,nan,0.0050999999999999995
heilbrigdis- og,A-hluti,4.0,nan,0.004
heilbrigdis- og,A-hluti,1.2,nan,0.0012
heilbrigdis- og,A-hluti,6.0,nan,0.006
menntamalaraduneyti,A-hluti,2.0,nan,0.002
doms- og kirkjumalaraduneyti,A-hluti,1.0,nan,0.001
heilbrigdis- og,A-hluti,4855.0,nan,4.855
heilbrigdis- og,A-hluti,507.0,nan,0.507
heilbrigdis- og,A-hluti,7930.0,nan,7.93
menntamalaraduneyti,A-hluti,201.0,nan,0.201
utanrikisraduneyti,A-hluti,211.0,nan,0.211
landbunadarraduneyti,A-hluti,234.0,nan,0.234
sjavarutvegsraduneyti,A-hluti,204.0,nan,0.204
doms- og kirkjumalaraduneyti,A-hluti,303.0,nan,0.303
felagsmalaraduneyti,A-hluti,331.0,nan,0.331
heilbrigdis- og tryggingamalaraduneyti,A-hluti,204.0,nan,0.204
fjarmalaraduneyti,A-hluti,391.0,nan,0.391
samgonguraduneyti,A-hluti,101.0,nan,0.101
idnadarraduneyti,A-hluti,245.0,nan,0.245
vidskiptaraduneyti,A-hluti,190.0,nan,0.19
umhverfisraduneyti,A-hluti,211.0,nan,0.211
