Ministry,Subcategory,LineItem,Amount_thousands_ISK,Year,normalized_category,source_file,amount_thousand_isk,amount_million_isk,Raw Category,Amount
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,7.549 1.605,1605.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,7.549 1.605,1605.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,345.177 308.816,308816.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,345.177 308.816,308816.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,345.177 308.816,308816.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,-337.628 — -307.211,307211.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,339.229 302.421,302421.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,1.601 -4.791,4791.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,1.601 -4.791,4791.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,71 2,2.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,-788 -1.888,1888.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
"101 Forsætisráðuneyti, aðalskrifstofa",2012 2011,741 -6.677,6677.0,2012.0,Central Organs,2012-RR-rikisadila_parsed.csv,,,,
