Ministry,is_garbage
"(Árið 2007: Félagsmálaráðuneyti, Skuldir og eigið fé",False
"- 01 101 Forsætisráðuneyti, aðalskrifstofa -7.102",False
"- 03 101 Utanríkisráðuneyti, aðalskrifstofa -39.000",False
"-44.100 — 40 101 Samgönguráðuneyti, aðalskrifstofa. 18.500",False
"01 101 Forsætisráðuneyti,",False
"01 101 Forsætisráðuneyti, aðalskrifstofa",False
"01 101 Forsætisráðuneyti, aðalskrifstofa 2.340",False
"01 101 Forsætisráðuneyti, aðalskrifstofa 3.600",False
"01 101 Forsætisráðuneyti, aðalskrifstofa 4 4 4 4 ótímab",False
"01 101 Forsætisráðuneyti, aðalskrifstofa 7 5 s s 2021",False
"01 101 Forsætisráðuneyti, aðalskrifstofa. 12.188",False
01 201 Fasteignir forsætisráðuneyti:,False
01 201 Fasteignir forsætisráðuneytis,False
01 201 Fasteignir forsætisráðuneytis .,False
01 201 Fasteignir forsætisráðuneytis 16 9 . . 2015,False
01 201 Fasteignir forsætisráðuneytis 20 1 1 1 2016-2019,False
01 201 Fasteignir forsætisráðuneytis 3 - - - 2020,False
01 201 Fasteignir forsætisráðuneytis 8 8 8 8 ótímab,False
01 201 Fasteignir forsætisráðuneytis 8 8 8 8 ótímab.,False
01 201 Fasteignir forsætisráðuneytis' 5 5 5 5 ótímab.,False
01 201 Fasteignir forsætisráðuneytis.,False
01 201 Fasteignir forsætisráðuneytis..,False
01 Forsætisráðuneyti,False
"01 Forsætisráðuneyti 1.381 1.444 -63 -4,4 1.771 390 22,0",False
"01 Forsætisráðuneyti 1.444 1.146 298 26,0 2.083 638 30,6",False
01 Forsætisráðuneyti 1381 649 470 380 158,False
"01 Forsætisráðuneyti 22.400 | 02919 Söfn, ýmis framlög 200",False
01 — Forsætisráðuneyti 209 Sjúklingatrygging -126 -,False
"01101 Forsætisráðuneyti,",False
"01101 Forsætisráðuneyti, aðalskrifstofa 645 688 -43 3 3",False
"01101 Forsætisráðuneyti, aðalskrifstofa 778 855 -77 8 19 -11",False
"01101 Forsætisráðuneyti, aðalskrifstofa 929 988 59 9 26 17",False
"01101 Forsætisráðuneyti, aðalskrifstofa 946 1.003 57 2 32 29",False
01201 Fasteignir forsætisráðuneytis - 1700,False
01201 Fasteignir forsætisráðuneytis 12 18 - 30,False
01201 Fasteignir forsætisráðuneytis 12 = - 1,False
01201 Fasteignir forsætisráðuneytis 169 185 -16 31 31 -,False
01201 Fasteignir forsætisráðuneytis 216 293 -77 9 8 1,False
01201 Fasteignir forsætisráðuneytis 250 275 25 9 39 30,False
01201 Fasteignir forsætisráðuneytis 257 327 71 2 11 9,False
01201 Fasteignir forsætisráðuneytis 7.000 LEA 3 -6.000,False
01201 Fasteignir forsætisráðuneytis = 8 ri) Z B,False
02 101 Mennta- og menningarmálaráðuneyti 09984 Ríkiseignir,False
"02 101 Mennta- og menningarmálaráðuneyti, 01 199",False
"02 101 Mennta- og menningarmálaráðuneyti, 12 199",False
"02 101 Mennta- og menningarmálaráðuneyti, aðalskrifstofa",False
"02 101 Menntamálaráðuneyti,",False
"02 101 Menntamálaráðuneyti, aðalskri",False
"02 101 Menntamálaráðuneyti, aðalskrifstofa",False
"02 101 Menntamálaráðuneyti, aðalskrifstofa 1.290",False
"02 101 Menntamálaráðuneyti, aðalskrifstofa 480",False
"02 101 Menntamálaráðuneyti, aðalskrifstofa 738",False
"02 101 Menntamálaráðuneyti, aðalskrifstofa A",False
02 101 —Mennta-og menningarmálaráðuneyti 63 63 63 63 ótímab,False
02 984 Norræn samvinna 3.500 11 Iðnaðarráðuneyti -9.819,False
02 994 Uppbygging menntunar 04 Landbúnaðarráðuneyti 18.415,False
02 Mennta- og menningamálaráðuneyti,False
02 Mennta- og menningarmálaráðuneyti 209.921,False
02 Menntamálaráðuneyti,False
02 Menntamálaráðuneyti 116.076 Sn,False
02 — Mennta- og menningamálaráðuneyti,False
02 — Mennta- og menningarmálaráðuneyti,False
02 — Menntamálaráðuneyti,False
"02101 Menntamálaráðuneyti,",False
02907 Listasafn Íslands 6.000 03 Utanríkisráðuneyti 9.150,False
"02999 Ýmislegt -3.089 ráðuneyti, aðalskrifstofa 4.430",False
"03 101 Utanríkisráðuneyti,",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa ..",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa ...... 3.000",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 1.000",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 10.000",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 11.000",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 16.000",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 17.500",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 23.325",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 3.500",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 5.000",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 5000",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa 9.400",False
"03 101 Utanríkisráðuneyti, aðalskrifstofa... 1.929",False
03 111 Þýðingamiðstöð utanríkisráðuneytis,False
03 111 Þýðingamiðstöð utanríkisráðuneytis ...,False
03 111 Þýðingamiðstöð utanríkisráðuneytis ....,False
03 111 Þýðingamiðstöð utanríkisráðuneytis 1 1 1 1 ótímab.,False
03 111 Þýðingamiðstöð utanríkisráðuneytis 8 8 9 9 ótímab.,False
03 111 Þýðingarmiðstöð utanríkisráðuneytis () () - - 2020,False
"03 190 Ýmis verkefni: Norska utanríkisráðuneytið,",False
03 Utanríkisráðuneyti,False
03 Utanríkisráðuneyti 38.822,False
"03 Utanríkisráðuneyti 5.489 4.965 524 10,6 5.837 349 6,0",False
"03 Utanríkisráðuneyti 5.980 438 73 1.502 19,0",False
03 Utanríkisráðuneyti 59.700 06199 Ráðstöfunarfé -7.500,False
