LineCode,Ministry,Category
101,Dóms- og kirkjumálaráðuneyti .......................................,Finance & Economy
101,Fjármálaráðuneyti,Finance & Economy
101,Fjármálaráðuneyti ............................,Finance & Economy
101,Fjármálaráðuneyti ............................................................,Finance & Economy
101,Forsætisráðuneyti,Finance & Economy
101,Forsætisráðuneyti ............................................................,Finance & Economy
101,Forsætisráðuneyti............................,Finance & Economy
101,Forsætisráðuneyti................................,Finance & Economy
101,Félagsmálaráðuneyti,Finance & Economy
101,Félagsmálaráðuneyti .......................,Finance & Economy
101,Félagsmálaráðuneyti...........................,Finance & Economy
101,Félagsmálaráðuneyti........................................................,Finance & Economy
101,Hagstofa Íslands,Finance & Economy
101,Hagstofa Íslands ..............................................................,Finance & Economy
101,Heilbrigðis- og tryggingamálaráðuneyti,Finance & Economy
101,Heilbrigðis- og tryggingamálaráðuneyti ........................,Finance & Economy
101,Iðnaðarráðuneyti ..............................................................,Finance & Economy
101,Landbúnaðarráðuneyti,Finance & Economy
101,Landbúnaðarráðuneyti ....................,Finance & Economy
101,Landbúnaðarráðuneyti........................,Finance & Economy
101,Landbúnaðarráðuneyti.....................................................,Finance & Economy
101,Menntamálaráðuneyti,Finance & Economy
101,Menntamálaráðuneyti .........................,Finance & Economy
101,Menntamálaráðuneyti ......................................................,Finance & Economy
101,Menntamálaráðuneyti......................,Finance & Economy
101,Samgönguráðuneyti,Finance & Economy
101,Samgönguráðuneyti.........................................................,Finance & Economy
101,Sjávarútvegsráðuneyti,Finance & Economy
101,Sjávarútvegsráðuneyti .....................................................,Finance & Economy
101,Sjávarútvegsráðuneyti.....................,Finance & Economy
101,Umhverfisráðuneyti,Finance & Economy
101,Umhverfisráðuneyti..........................................................,Finance & Economy
101,Utanríkisráðuneyti,Finance & Economy
101,Utanríkisráðuneyti ...............................,Finance & Economy
101,Utanríkisráðuneyti ............................................................,Finance & Economy
101,Utanríkisráðuneyti............................,Finance & Economy
101,Viðskiptaráðuneyti ...........................................................,Finance & Economy
101,Æðsta stjórn ríkisins,Finance & Economy
101,Æðsta stjórn ríkisins ...........................,Finance & Economy
101,Æðsta stjórn ríkisins ........................................................,Finance & Economy
101,Æðsta stjórn ríkisins........................,Finance & Economy
102,Dóms- og kirkjumálaráðuneyti,Social & Labour
102,Dóms- og kirkjumálaráðuneyti ..........,Social & Labour
102,Dóms- og kirkjumálaráðuneyti .......................................,Social & Labour
102,Dóms- og kirkjumálaráðuneyti.......,Social & Labour
102,Iðnaðarráðuneyti,Social & Labour
102,Iðnaðarráðuneyti ..............................................................,Social & Labour
103,Dóms- og kirkjumálaráðuneyti,Finance & Economy
103,Dóms- og kirkjumálaráðuneyti ..........,Finance & Economy
103,Dóms- og kirkjumálaráðuneyti .......................................,Finance & Economy
103,Dóms- og kirkjumálaráðuneyti.......,Finance & Economy
103,Fjármálaráðuneyti,Finance & Economy
103,Fjármálaráðuneyti ............................,Finance & Economy
103,Fjármálaráðuneyti ............................................................,Finance & Economy
104,Dóms- og kirkjumálaráðuneyti,Finance & Economy
104,Fjármálaráðuneyti,Finance & Economy
